Epoch:241 | Cross Entropy Error: 0.1165458866649897 | Accuacy: 96.71499999999999%
Epoch:242 | Cross Entropy Error: 0.11619510983977702 | Accuacy: 96.72166666666666%
Epoch:243 | Cross Entropy Error: 0.11584602017547742 | Accuacy: 96.72833333333334%
Epoch:244 | Cross Entropy Error: 0.11549854693066434 | Accuacy: 96.74333333333334%
Epoch:245 | Cross Entropy Error: 0.11515276193941902 | Accuacy: 96.75333333333333%
Epoch:246 | Cross Entropy Error: 0.1148086240695005 | Accuacy: 96.765%
Epoch:247 | Cross Entropy Error: 0.11446628867502026 | Accuacy: 96.77%
Epoch:248 | Cross Entropy Error: 0.11412566562240187 | Accuacy: 96.775%
Epoch:249 | Cross Entropy Error: 0.11378674934205527 | Accuacy: 96.78166666666667%
Epoch:250 | Cross Entropy Error: 0.11344942659246948 | Accuacy: 96.79333333333334%
Epoch:251 | Cross Entropy Error: 0.1131138141092111 | Accuacy: 96.80833333333332%
Epoch:252 | Cross Entropy Error: 0.11277999443735179 | Accuacy: 96.825%
Epoch:253 | Cross Entropy Error: 0.11244781287064126 | Accuacy: 96.83666666666667%
Epoch:254 | Cross Entropy Error: 0.11211722401927496 | Accuacy: 96.84666666666666%
Epoch:255 | Cross Entropy Error: 0.11178810402491891 | Accuacy: 96.85333333333334%
Epoch:256 | Cross Entropy Error: 0.11146035277228716 | Accuacy: 96.86833333333334%
Epoch:257 | Cross Entropy Error: 0.11113415261447228 | Accuacy: 96.88166666666666%
Epoch:258 | Cross Entropy Error: 0.11080944830201027 | Accuacy: 96.89%
Epoch:259 | Cross Entropy Error: 0.11048625652728844 | Accuacy: 96.89999999999999%
Epoch:260 | Cross Entropy Error: 0.11016456887459487 | Accuacy: 96.91166666666666%
Epoch:261 | Cross Entropy Error: 0.10984438027298088 | Accuacy: 96.93%
Epoch:262 | Cross Entropy Error: 0.10952563337519959 | Accuacy: 96.94500000000001%
Epoch:263 | Cross Entropy Error: 0.10920838501832168 | Accuacy: 96.955%
Epoch:264 | Cross Entropy Error: 0.10889252671317726 | Accuacy: 96.97666666666666%
Epoch:265 | Cross Entropy Error: 0.10857809480714181 | Accuacy: 96.98%
Epoch:266 | Cross Entropy Error: 0.10826504470895626 | Accuacy: 96.99333333333333%
Epoch:267 | Cross Entropy Error: 0.10795339951141003 | Accuacy: 97.00166666666667%
Epoch:268 | Cross Entropy Error: 0.10764317116702883 | Accuacy: 97.015%
Epoch:269 | Cross Entropy Error: 0.10733432513836473 | Accuacy: 97.02333333333333%
Epoch:270 | Cross Entropy Error: 0.10702683735726201 | Accuacy: 97.03166666666667%
Epoch:271 | Cross Entropy Error: 0.1067206509515843 | Accuacy: 97.03333333333333%
Epoch:272 | Cross Entropy Error: 0.10641574163098287 | Accuacy: 97.03666666666668%
Epoch:273 | Cross Entropy Error: 0.10611209968553038 | Accuacy: 97.04666666666667%
Epoch:274 | Cross Entropy Error: 0.10580978753192147 | Accuacy: 97.05333333333334%
Epoch:275 | Cross Entropy Error: 0.10550873103212112 | Accuacy: 97.055%
Epoch:276 | Cross Entropy Error: 0.10520896350202856 | Accuacy: 97.06833333333333%
Epoch:277 | Cross Entropy Error: 0.10491059117681834 | Accuacy: 97.07833333333333%
Epoch:278 | Cross Entropy Error: 0.10461353073169216 | Accuacy: 97.08166666666666%
Epoch:279 | Cross Entropy Error: 0.10431769017405008 | Accuacy: 97.08833333333334%
Epoch:280 | Cross Entropy Error: 0.10402309306259273 | Accuacy: 97.09166666666667%
Epoch:281 | Cross Entropy Error: 0.10372970963092627 | Accuacy: 97.095%
Epoch:282 | Cross Entropy Error: 0.10343751082066224 | Accuacy: 97.10166666666666%
Epoch:283 | Cross Entropy Error: 0.1031466248943367 | Accuacy: 97.10833333333333%
Epoch:284 | Cross Entropy Error: 0.10285698084427208 | Accuacy: 97.11833333333333%
Epoch:285 | Cross Entropy Error: 0.10256863047353185 | Accuacy: 97.12166666666666%
Epoch:286 | Cross Entropy Error: 0.10228175973470371 | Accuacy: 97.135%
Epoch:287 | Cross Entropy Error: 0.10199619738094828 | Accuacy: 97.14333333333333%
Epoch:288 | Cross Entropy Error: 0.10171191960901294 | Accuacy: 97.15333333333334%
Epoch:289 | Cross Entropy Error: 0.10142898401948967 | Accuacy: 97.16333333333334%
Epoch:290 | Cross Entropy Error: 0.10114746681705973 | Accuacy: 97.17333333333333%
Epoch:291 | Cross Entropy Error: 0.1008673482237128 | Accuacy: 97.18%
Epoch:292 | Cross Entropy Error: 0.10058855795976644 | Accuacy: 97.18833333333333%
Epoch:293 | Cross Entropy Error: 0.10031106137742468 | Accuacy: 97.19166666666666%
Epoch:294 | Cross Entropy Error: 0.1000346944015362 | Accuacy: 97.2%
Epoch:295 | Cross Entropy Error: 0.09975962059870784 | Accuacy: 97.20333333333333%
Epoch:296 | Cross Entropy Error: 0.09948565890427018 | Accuacy: 97.21499999999999%
Epoch:297 | Cross Entropy Error: 0.09921280653383216 | Accuacy: 97.22166666666666%
Epoch:298 | Cross Entropy Error: 0.0989410527691457 | Accuacy: 97.23%
Epoch:299 | Cross Entropy Error: 0.09867033092262498 | Accuacy: 97.24666666666667%
Epoch:300 | Cross Entropy Error: 0.09840069755306073 | Accuacy: 97.25%
Epoch:301 | Cross Entropy Error: 0.09813213518572343 | Accuacy: 97.25666666666667%
Epoch:302 | Cross Entropy Error: 0.0978646927047481 | Accuacy: 97.26%
Epoch:303 | Cross Entropy Error: 0.0975982794326937 | Accuacy: 97.26333333333334%
Epoch:304 | Cross Entropy Error: 0.09733284191166387 | Accuacy: 97.265%
Epoch:305 | Cross Entropy Error: 0.09706836823537732 | Accuacy: 97.27333333333334%
Epoch:306 | Cross Entropy Error: 0.09680487086428778 | Accuacy: 97.28333333333333%
Epoch:307 | Cross Entropy Error: 0.0965423198005527 | Accuacy: 97.29333333333334%
Epoch:308 | Cross Entropy Error: 0.09628072404092673 | Accuacy: 97.30333333333333%
Epoch:309 | Cross Entropy Error: 0.096020178836572 | Accuacy: 97.31%
Epoch:310 | Cross Entropy Error: 0.09576068033514552 | Accuacy: 97.315%
Epoch:311 | Cross Entropy Error: 0.09550227268089642 | Accuacy: 97.32833333333333%
Epoch:312 | Cross Entropy Error: 0.09524486616791944 | Accuacy: 97.33500000000001%
Epoch:313 | Cross Entropy Error: 0.0949883878681192 | Accuacy: 97.33833333333334%
Epoch:314 | Cross Entropy Error: 0.09473288057924384 | Accuacy: 97.35000000000001%
Epoch:315 | Cross Entropy Error: 0.09447843313765335 | Accuacy: 97.36166666666666%
Epoch:316 | Cross Entropy Error: 0.09422510933200427 | Accuacy: 97.37333333333333%
Epoch:317 | Cross Entropy Error: 0.09397277769772755 | Accuacy: 97.38166666666666%
