Epoch:182 | Cross Entropy Error: 0.2343210278489861 | Accuacy: 95.83333333333334%
Epoch:183 | Cross Entropy Error: 0.23317911795050877 | Accuacy: 95.83333333333334%
Epoch:184 | Cross Entropy Error: 0.23204485998414448 | Accuacy: 95.83333333333334%
Epoch:185 | Cross Entropy Error: 0.2309155269272574 | Accuacy: 95.83333333333334%
Epoch:186 | Cross Entropy Error: 0.22979274300116284 | Accuacy: 95.83333333333334%
Epoch:187 | Cross Entropy Error: 0.22867784142147848 | Accuacy: 95.83333333333334%
Epoch:188 | Cross Entropy Error: 0.2275715057588502 | Accuacy: 95.83333333333334%
Epoch:189 | Cross Entropy Error: 0.22647441671940194 | Accuacy: 95.83333333333334%
Epoch:190 | Cross Entropy Error: 0.22537615963500982 | Accuacy: 95.0%
Epoch:191 | Cross Entropy Error: 0.22429292921648225 | Accuacy: 95.0%
Epoch:192 | Cross Entropy Error: 0.22322261625080597 | Accuacy: 95.0%
Epoch:193 | Cross Entropy Error: 0.22215017608090332 | Accuacy: 95.0%
Epoch:194 | Cross Entropy Error: 0.22109130433182952 | Accuacy: 95.0%
Epoch:195 | Cross Entropy Error: 0.2200296215335044 | Accuacy: 95.83333333333334%
Epoch:196 | Cross Entropy Error: 0.21898053015332822 | Accuacy: 95.83333333333334%
Epoch:197 | Cross Entropy Error: 0.217947557621755 | Accuacy: 95.83333333333334%
Epoch:198 | Cross Entropy Error: 0.21690546568907904 | Accuacy: 95.83333333333334%
Epoch:199 | Cross Entropy Error: 0.2158854222421473 | Accuacy: 95.83333333333334%
Epoch:200 | Cross Entropy Error: 0.21488386616592972 | Accuacy: 95.83333333333334%
Epoch:201 | Cross Entropy Error: 0.2138877132653768 | Accuacy: 95.83333333333334%
Epoch:202 | Cross Entropy Error: 0.21289705585124527 | Accuacy: 95.83333333333334%
Epoch:203 | Cross Entropy Error: 0.21191310480237047 | Accuacy: 95.83333333333334%
Epoch:204 | Cross Entropy Error: 0.210937721709915 | Accuacy: 95.83333333333334%
Epoch:205 | Cross Entropy Error: 0.20997095966839907 | Accuacy: 95.83333333333334%
Epoch:206 | Cross Entropy Error: 0.20901053503647005 | Accuacy: 95.83333333333334%
Epoch:207 | Cross Entropy Error: 0.20805870685233063 | Accuacy: 95.83333333333334%
Epoch:208 | Cross Entropy Error: 0.20711397932625908 | Accuacy: 95.83333333333334%
Epoch:209 | Cross Entropy Error: 0.2061769111060883 | Accuacy: 95.83333333333334%
Epoch:210 | Cross Entropy Error: 0.20524732680470512 | Accuacy: 95.83333333333334%
Epoch:211 | Cross Entropy Error: 0.2043291042498181 | Accuacy: 95.83333333333334%
Epoch:212 | Cross Entropy Error: 0.2034267468250833 | Accuacy: 95.83333333333334%
Epoch:213 | Cross Entropy Error: 0.20253048366715173 | Accuacy: 95.83333333333334%
Epoch:214 | Cross Entropy Error: 0.20164111280713093 | Accuacy: 95.83333333333334%
Epoch:215 | Cross Entropy Error: 0.20075954703302398 | Accuacy: 95.83333333333334%
Epoch:216 | Cross Entropy Error: 0.19988544042112846 | Accuacy: 95.83333333333334%
Epoch:217 | Cross Entropy Error: 0.19901903835830723 | Accuacy: 95.83333333333334%
Epoch:218 | Cross Entropy Error: 0.19816365934976243 | Accuacy: 95.83333333333334%
Epoch:219 | Cross Entropy Error: 0.19732363585253485 | Accuacy: 95.83333333333334%
Epoch:220 | Cross Entropy Error: 0.19648876210542737 | Accuacy: 95.83333333333334%
Epoch:221 | Cross Entropy Error: 0.19566524597214816 | Accuacy: 95.83333333333334%
Epoch:222 | Cross Entropy Error: 0.19485706149963292 | Accuacy: 95.83333333333334%
Epoch:223 | Cross Entropy Error: 0.19405139509642078 | Accuacy: 96.66666666666667%
Epoch:224 | Cross Entropy Error: 0.19325055738360972 | Accuacy: 96.66666666666667%
